fatal: bad revision 'HEAD'
开始获取 BTC/USDT 数据，从 2023-01-01 到 2024-11-08
已获取 160000 条数据... 当前时间: 2023-04-22 02:39:00.001000
已获取 161000 条数据... 当前时间: 2023-04-22 19:19:00.001000
已获取 162000 条数据... 当前时间: 2023-04-23 11:59:00.001000
已获取 163000 条数据... 当前时间: 2023-04-24 04:39:00.001000
已获取 164000 条数据... 当前时间: 2023-04-24 21:19:00.001000
已获取 165000 条数据... 当前时间: 2023-04-25 13:59:00.001000
已获取 166000 条数据... 当前时间: 2023-04-26 06:39:00.001000
已获取 167000 条数据... 当前时间: 2023-04-26 23:19:00.001000
已获取 168000 条数据... 当前时间: 2023-04-27 15:59:00.001000
已获取 169000 条数据... 当前时间: 2023-04-28 08:39:00.001000
已获取 170000 条数据... 当前时间: 2023-04-29 01:19:00.001000
已获取 171000 条数据... 当前时间: 2023-04-29 17:59:00.001000
已获取 172000 条数据... 当前时间: 2023-04-30 10:39:00.001000
已获取 173000 条数据... 当前时间: 2023-05-01 03:19:00.001000
已获取 174000 条数据... 当前时间: 2023-05-01 19:59:00.001000
已获取 175000 条数据... 当前时间: 2023-05-02 12:39:00.001000
已获取 176000 条数据... 当前时间: 2023-05-03 05:19:00.001000
已获取 177000 条数据... 当前时间: 2023-05-03 21:59:00.001000
已获取 178000 条数据... 当前时间: 2023-05-04 14:39:00.001000
已获取 179000 条数据... 当前时间: 2023-05-05 07:19:00.001000
已获取 180000 条数据... 当前时间: 2023-05-05 23:59:00.001000
已获取 181000 条数据... 当前时间: 2023-05-06 16:39:00.001000
已获取 182000 条数据... 当前时间: 2023-05-07 09:19:00.001000
已获取 183000 条数据... 当前时间: 2023-05-08 01:59:00.001000
已获取 184000 条数据... 当前时间: 2023-05-08 18:39:00.001000
已获取 185000 条数据... 当前时间: 2023-05-09 11:19:00.001000
已获取 186000 条数据... 当前时间: 2023-05-10 03:59:00.001000
已获取 187000 条数据... 当前时间: 2023-05-10 20:39:00.001000
已获取 188000 条数据... 当前时间: 2023-05-11 13:19:00.001000
已获取 189000 条数据... 当前时间: 2023-05-12 05:59:00.001000
已获取 190000 条数据... 当前时间: 2023-05-12 22:39:00.001000
已获取 191000 条数据... 当前时间: 2023-05-13 15:19:00.001000
已获取 192000 条数据... 当前时间: 2023-05-14 07:59:00.001000
已获取 193000 条数据... 当前时间: 2023-05-15 00:39:00.001000
已获取 194000 条数据... 当前时间: 2023-05-15 17:19:00.001000
已获取 195000 条数据... 当前时间: 2023-05-16 09:59:00.001000
已获取 196000 条数据... 当前时间: 2023-05-17 02:39:00.001000
已获取 197000 条数据... 当前时间: 2023-05-17 19:19:00.001000
已获取 198000 条数据... 当前时间: 2023-05-18 11:59:00.001000
已获取 199000 条数据... 当前时间: 2023-05-19 04:39:00.001000
已获取 200000 条数据... 当前时间: 2023-05-19 21:19:00.001000
已获取 201000 条数据... 当前时间: 2023-05-20 13:59:00.001000
已获取 202000 条数据... 当前时间: 2023-05-21 06:39:00.001000
已获取 203000 条数据... 当前时间: 2023-05-21 23:19:00.001000
已获取 204000 条数据... 当前时间: 2023-05-22 15:59:00.001000
已获取 205000 条数据... 当前时间: 2023-05-23 08:39:00.001000
已获取 206000 条数据... 当前时间: 2023-05-24 01:19:00.001000
已获取 207000 条数据... 当前时间: 2023-05-24 17:59:00.001000
已获取 208000 条数据... 当前时间: 2023-05-25 10:39:00.001000
已获取 209000 条数据... 当前时间: 2023-05-26 03:19:00.001000
已获取 210000 条数据... 当前时间: 2023-05-26 19:59:00.001000
已获取 211000 条数据... 当前时间: 2023-05-27 12:39:00.001000
已获取 212000 条数据... 当前时间: 2023-05-28 05:19:00.001000
已获取 213000 条数据... 当前时间: 2023-05-28 21:59:00.001000
已获取 214000 条数据... 当前时间: 2023-05-29 14:39:00.001000
已获取 215000 条数据... 当前时间: 2023-05-30 07:19:00.001000
已获取 216000 条数据... 当前时间: 2023-05-30 23:59:00.001000
已获取 217000 条数据... 当前时间: 2023-05-31 16:39:00.001000
已获取 218000 条数据... 当前时间: 2023-06-01 09:19:00.001000
已获取 219000 条数据... 当前时间: 2023-06-02 01:59:00.001000
已获取 220000 条数据... 当前时间: 2023-06-02 18:39:00.001000
已获取 221000 条数据... 当前时间: 2023-06-03 11:19:00.001000
已获取 222000 条数据... 当前时间: 2023-06-04 03:59:00.001000
已获取 223000 条数据... 当前时间: 2023-06-04 20:39:00.001000
已获取 224000 条数据... 当前时间: 2023-06-05 13:19:00.001000
已获取 225000 条数据... 当前时间: 2023-06-06 05:59:00.001000
已获取 226000 条数据... 当前时间: 2023-06-06 22:39:00.001000
已获取 227000 条数据... 当前时间: 2023-06-07 15:19:00.001000
已获取 228000 条数据... 当前时间: 2023-06-08 07:59:00.001000
已获取 229000 条数据... 当前时间: 2023-06-09 00:39:00.001000
已获取 230000 条数据... 当前时间: 2023-06-09 17:19:00.001000
已获取 231000 条数据... 当前时间: 2023-06-10 09:59:00.001000
已获取 232000 条数据... 当前时间: 2023-06-11 02:39:00.001000
已获取 233000 条数据... 当前时间: 2023-06-11 19:19:00.001000
已获取 234000 条数据... 当前时间: 2023-06-12 11:59:00.001000
已获取 235000 条数据... 当前时间: 2023-06-13 04:39:00.001000
已获取 236000 条数据... 当前时间: 2023-06-13 21:19:00.001000
已获取 237000 条数据... 当前时间: 2023-06-14 13:59:00.001000
已获取 238000 条数据... 当前时间: 2023-06-15 06:39:00.001000
已获取 239000 条数据... 当前时间: 2023-06-15 23:19:00.001000
已获取 240000 条数据... 当前时间: 2023-06-16 15:59:00.001000
已获取 241000 条数据... 当前时间: 2023-06-17 08:39:00.001000
已获取 242000 条数据... 当前时间: 2023-06-18 01:19:00.001000
已获取 243000 条数据... 当前时间: 2023-06-18 17:59:00.001000
已获取 244000 条数据... 当前时间: 2023-06-19 10:39:00.001000
已获取 245000 条数据... 当前时间: 2023-06-20 03:19:00.001000
已获取 246000 条数据... 当前时间: 2023-06-20 19:59:00.001000
已获取 247000 条数据... 当前时间: 2023-06-21 12:39:00.001000
已获取 248000 条数据... 当前时间: 2023-06-22 05:19:00.001000
已获取 249000 条数据... 当前时间: 2023-06-22 21:59:00.001000
已获取 250000 条数据... 当前时间: 2023-06-23 14:39:00.001000
已获取 251000 条数据... 当前时间: 2023-06-24 07:19:00.001000
已获取 252000 条数据... 当前时间: 2023-06-24 23:59:00.001000
已获取 253000 条数据... 当前时间: 2023-06-25 16:39:00.001000
已获取 254000 条数据... 当前时间: 2023-06-26 09:19:00.001000
已获取 255000 条数据... 当前时间: 2023-06-27 01:59:00.001000
已获取 256000 条数据... 当前时间: 2023-06-27 18:39:00.001000
已获取 257000 条数据... 当前时间: 2023-06-28 11:19:00.001000
已获取 258000 条数据... 当前时间: 2023-06-29 03:59:00.001000
已获取 259000 条数据... 当前时间: 2023-06-29 20:39:00.001000
已获取 260000 条数据... 当前时间: 2023-06-30 13:19:00.001000
已获取 261000 条数据... 当前时间: 2023-07-01 05:59:00.001000
已获取 262000 条数据... 当前时间: 2023-07-01 22:39:00.001000
已获取 263000 条数据... 当前时间: 2023-07-02 15:19:00.001000
已获取 264000 条数据... 当前时间: 2023-07-03 07:59:00.001000
已获取 265000 条数据... 当前时间: 2023-07-04 00:39:00.001000
已获取 266000 条数据... 当前时间: 2023-07-04 17:19:00.001000
已获取 267000 条数据... 当前时间: 2023-07-05 09:59:00.001000
已获取 268000 条数据... 当前时间: 2023-07-06 02:39:00.001000
已获取 269000 条数据... 当前时间: 2023-07-06 19:19:00.001000
已获取 270000 条数据... 当前时间: 2023-07-07 11:59:00.001000
已获取 271000 条数据... 当前时间: 2023-07-08 04:39:00.001000
已获取 272000 条数据... 当前时间: 2023-07-08 21:19:00.001000
已获取 273000 条数据... 当前时间: 2023-07-09 13:59:00.001000
已获取 274000 条数据... 当前时间: 2023-07-10 06:39:00.001000
已获取 275000 条数据... 当前时间: 2023-07-10 23:19:00.001000
已获取 276000 条数据... 当前时间: 2023-07-11 15:59:00.001000
已获取 277000 条数据... 当前时间: 2023-07-12 08:39:00.001000
已获取 278000 条数据... 当前时间: 2023-07-13 01:19:00.001000
已获取 279000 条数据... 当前时间: 2023-07-13 17:59:00.001000
已获取 280000 条数据... 当前时间: 2023-07-14 10:39:00.001000
已获取 281000 条数据... 当前时间: 2023-07-15 03:19:00.001000
已获取 282000 条数据... 当前时间: 2023-07-15 19:59:00.001000
已获取 283000 条数据... 当前时间: 2023-07-16 12:39:00.001000
已获取 284000 条数据... 当前时间: 2023-07-17 05:19:00.001000
已获取 285000 条数据... 当前时间: 2023-07-17 21:59:00.001000
已获取 286000 条数据... 当前时间: 2023-07-18 14:39:00.001000
已获取 287000 条数据... 当前时间: 2023-07-19 07:19:00.001000
已获取 288000 条数据... 当前时间: 2023-07-19 23:59:00.001000
已获取 289000 条数据... 当前时间: 2023-07-20 16:39:00.001000
已获取 290000 条数据... 当前时间: 2023-07-21 09:19:00.001000
已获取 291000 条数据... 当前时间: 2023-07-22 01:59:00.001000
已获取 292000 条数据... 当前时间: 2023-07-22 18:39:00.001000
已获取 293000 条数据... 当前时间: 2023-07-23 11:19:00.001000
已获取 294000 条数据... 当前时间: 2023-07-24 03:59:00.001000
已获取 295000 条数据... 当前时间: 2023-07-24 20:39:00.001000
已获取 296000 条数据... 当前时间: 2023-07-25 13:19:00.001000
已获取 297000 条数据... 当前时间: 2023-07-26 05:59:00.001000
已获取 298000 条数据... 当前时间: 2023-07-26 22:39:00.001000
已获取 299000 条数据... 当前时间: 2023-07-27 15:19:00.001000
已获取 300000 条数据... 当前时间: 2023-07-28 07:59:00.001000
已获取 301000 条数据... 当前时间: 2023-07-29 00:39:00.001000
已获取 302000 条数据... 当前时间: 2023-07-29 17:19:00.001000
已获取 303000 条数据... 当前时间: 2023-07-30 09:59:00.001000
已获取 304000 条数据... 当前时间: 2023-07-31 02:39:00.001000
已获取 305000 条数据... 当前时间: 2023-07-31 19:19:00.001000
已获取 306000 条数据... 当前时间: 2023-08-01 11:59:00.001000
已获取 307000 条数据... 当前时间: 2023-08-02 04:39:00.001000
已获取 308000 条数据... 当前时间: 2023-08-02 21:19:00.001000
已获取 309000 条数据... 当前时间: 2023-08-03 13:59:00.001000
已获取 310000 条数据... 当前时间: 2023-08-04 06:39:00.001000
已获取 311000 条数据... 当前时间: 2023-08-04 23:19:00.001000
已获取 312000 条数据... 当前时间: 2023-08-05 15:59:00.001000
已获取 313000 条数据... 当前时间: 2023-08-06 08:39:00.001000
已获取 314000 条数据... 当前时间: 2023-08-07 01:19:00.001000
已获取 315000 条数据... 当前时间: 2023-08-07 17:59:00.001000
已获取 316000 条数据... 当前时间: 2023-08-08 10:39:00.001000
